Term [en-US],Description [en-US],Part of Speech [en-US],Term [zh-CN],Description [zh-CN],Part of Speech [zh-CN],Term [zh-TW],Description [zh-TW],Part of Speech [zh-TW]
oil on mahogany,,,,,,,,
Baal Shamin,,,,,,,,
Bacchus,,,,,,,,
Baalbek,,,,,,,,
Dr. Parme Giuntini,,,,,,,,
Huntington Library,,,,,,,,
Institute for the Study of the Ancient World,,,,,,,,
"Museum of Fine Arts, Lyon",,,,,,,,
event,,,,,,,,
Archives of American Art,,,,,,,,
iconic,,,,,,,,
Hessian encampment,,,,,,,,
grapher,,,,,,,,
industrial revolution,,,,,,,,
LACMA,,,,,,,,
Drag,,,,,,,,
liquid,,,液体,,,液體,,
fluid,,,流体,,,流體,,
peristyle,,,,,,,,
atrium,,,,,,,,
Herculaneum,,,,,,,,
tetrastyle,,,,,,,,
scatter plot,,,,,,,,
Courtauld Institute Galleries,,,,,,,,
Vertex Form,,,,,,,,
Deeds of the Divine Augustus,,,,,,,,
Ara Pacis Museum,,,,,,,,
hitching post,a post where horses are tied,,,,,,,
Jehudiel,,,,,,,,
Fitzwilliam Museum,,,,,,,,
Luna marble,,,,,,,,
concave up,,,,,,,,
opens upwards,,,,,,,,
concave down,,,,,,,,
follies,,,,,,,,
Royal Pavilion,,,,,,,,
Glyptothek,,,,,,,,
Antikensammlungen,,,,,,,,
Palazzo dei Conservatori,,,,,,,,
Musei Capitolini,,,,,,,,
house partition screen,,,,,,,,
spin-off,,,,,,,,
Brain Builder,,,,,,,,
angle-preserving,,,,,,,,
Complete,,VERB,,,,,,
albumen print photo,,,,,,,,
The Royal Collection,,,,,,,,
Skipcounting,"att hoppa ett antal steg år gången t.ex 10, 5, 3 när man räknar, förstadie till multiplikation",,,,,,,
Angle measure,,,,,,,,
Rigid transformation,,,,,,,,
Cross reduction,,,,,,,,
text{number of hours},,,,,,,,
equilateral,,,,,,,,
Museo Inka,,,,,,,,
special product,,,,,,,,
sum of its digits,,,,,,,,
vertex form,,,,,,,,
adjacent angles,,,,,,,,
National Gallery of Art,,,,,,,,
unit square,,,,,,,,
monomial,,,,,,,,
remainder,,,,,,,,
animation,,,,,,,,
sun,,,,,,,,
HTML,,,,,,,,
CSS,,,,,,,,
SVG,,,,,,,,
regrouping,,,,,,,,
ellipse,,,,,,,,
bezier curve,,,,,,,,
Bezier,,,,,,,,
coordinate,,,,,,,,
point,,,,,,,,
parameters,,,,,,,,
anchor,,,,,,,,
function,,,,,,,,
Privacy Notice,назва розділу,,,,,,,
outline,,,,,,,,
whole number,,,,,,,,
scatter plots,,,,,,,,
Absolute-value,,,绝对值,,,絕對值,,
Example,,,,,,,,
Rule,,,,,,,,
Terms of Service,Rules,,,,,,,
Privacy Policy,,,,,,,,
notation,,,,,,,,
returns,,,,,,,,
domains,,,,,,,,
graphics,,,,,,,,
Linear algebra,,,,,,,,
Stroke,,,,,,,,
Tool,,,,,,,,
node,,,,,,,,
Roundness,,,,,,,,
Align,,,,,,,,
Width,,,,,,,,
Rotate,,,,,,,,
Optional,,,,,,,,
transformation matrix,,,,,,,,
console,,,,,,,,
variables,,,,,,,,
thickness,,,,,,,,
Practice,,,,,,,,
moderation,,,,,,,,
Please wait,,,,,,,,
area,,,,,,,,
contact,,,,,,,,
Edit,,,,,,,,
school,,,,,,,,
render,,,,,,,,
font,,,,,,,,
[[☃ matcher 1]],,,,,,,,
triangle inequality theorem,,,,,,,,
order of operations,,,,,,,,
ready,,,,,,,,
conditional expression,,,,,,,,
exception,,,,,,,,
Bad,,,,,,,,
constructor,,,,,,,,
Goal,,,,,,,,
details,,,,,,,,
congruent,,,,,,,,
pyramid,,,,,,,,
metric tone,Am. metric tone/ Brit. tonne = 1000 kg,,,,,,,
outstanding share,,,,,,,,
common stock,,,,,,,,
preferred dividends,,,,,,,,
substitute,,,,,,,,
Let's solve for,,,,,,,,
workaround,,,,,,,,
slope intercept,,,,,,,,
formula,,,,,,,,
factored,,,,,,,,
inverse variation,,,,,,,,
hypothesis,,,,,,,,
rational,,,,,,,,
logarithm,,,,,,,,
ratio,,,,,,,,
polynomial,,,,,,,,
conjugate,,,,,,,,
polygons,,,,,,,,
hexadecimal,,,,,,,,
similar,,,,,,,,
nNote,,,,,,,,
cyan,,,,,,,,
Combine,,,,,,,,
factoring,,,,,,,,
smarter,,,,,,,,
Features,,,,,,,,
icon,,,,,,,,
hatching,"To mark with lines, especially closely set parallel lines, as for shading in drawing or engraving.
 From the French 'hachure'.",,,,,,,
Both,,,,,,,,
acid-test,,,,,,,,
quick ratio,,,,,,,,
current liabilities.,,,,,,,,
current assets,,,,,,,,
cuboid,"In geometry, a cuboid is a convex polyhedron bounded by six quadrilateral faces, whose polyhedral graph is the same as that of a cube.",,,,,,,
single sum,,,,,,,,
global,,,,,,,,
number,,,,,,,,
inequality,,,,,,,,
to both sides,,,,,,,,
value,,,,,,,,
Myelodysplastic syndrome,,,,,,,,
intersect,,,相交,,,相交,,
angle bisectors,bisectrices,,,,,,,
least common multiple,,,,,,,,
quadrilaterals,,NOUN,,,,,,
squares,,,,,,,,
pentagons,,,五边形,,,五邊形,,
difference of two squares,,,,,,,,
acute angle,,,,,,,,
animated,,,,,,,,
real values,,,,,,,,
vertex,,,,,,,,
Winston,,,,,,,,
tag,,,,,,,,
Oh noes,The error buddy. Just in this context.,,,,,,,
drawn to scale,,,,,,,,
greatest common factor,,,,,,,,
sidebar,,,,,,,,
СS,,,,,,,,
When we solve,,,,,,,,
we find that,,,,,,,,
"In math, there's always another way",,,,,,,,
below,,,,,,,,
solve,,,,,,,,
We can conclude that,,,,,,,,
We are asked to rewrite the equation in terms of,,,,,,,,
the World of Math,,,,,,,,
profile,,,,,,,,
slope-intercept form,,,,,,,,
testimonial,,,,,,,,
Homeschool,,,,,,,,
right triangle,,,,,,,,
"anyone, anywhere",,,,,,,,
Fundraising,,,,,,,,
honoree,Person in whose honor a gift is made.,,,,,,,
initial value,,,,,,,,
trigonometry,,,,,,,,
fast track,,,,,,,,
SFMOMA,,,,,,,,
Olympia,,,,,,,,
Solving for,,,,,,,,
First Persian Empire,,,,,,,,
Kylix,,,,,,,,
Homa,,,,,,,,
square centimeters,,,,,,,,
square meters,,,,,,,,
centimeter,,NOUN,,,,,,
the tens place,,,,,,,,
the Sly Fox,,,,,,,,
Adoptions Team,,,,,,,,
machine learning,,,,,,,,
Memory,,,,,,,,
University of Pennsylvania,,,,,,,,
behaviors,,,,,,,,
oil cloth,,,,,,,,
Detroit Institute of the Arts,,,,,,,,
milliliters,,,,,,,,
grams,,,克,,,克,,
kilograms,,,公斤,,,公斤,,
object-oriented,,,,,,,,
programming,,,,,,,,
seconds,,,秒,,,秒,,
minutes,,,分钟,,,分鐘,,
Hours,,,,,,,,
meters,,,公尺,,,公尺,,
Millimeters,,,,,,,,
kilometers,,,公里,,,公里,,
Claim,,,,,,,,
random,,,,,,,,
"Kunsthistorisches Museum, Vienna",,,,,,,,
The answer,,,,,,,,
obtuse,,,,,,,,
property,,,,,,,,
parabola,,,,,,,,
hyperbola,,,,,,,,
Pythagorean theorem,,,,,,,,
kite,,,,,,,,
baseball,,,,,,,,
Snowdrop,,,,,,,,
Hyacinth,,,,,,,,
Summary,,,,,,,,
solution process,,,,,,,,
find,,VERB,,,,,,
acute,,NOUN,,,,,,
ProcessingJS,,,,,,,,
particle system,,,,,,,,
particle,,,,,,,,
assessment,,,,,,,,
protractor,,,,,,,,
visualizations,,,,,,,,
arithmetic sequence,,,,,,,,
gelatin silver print,Photo printing,,,,,,,
Dr. Juliana Kreinik,,,,,,,,
Break into two fractions,,,,,,,,
in terms of,,,,,,,,
augmented matrix,,,,,,,,
deploy,,,,,,,,
custom,,,,,,,,
parallelogram,,,,,,,,
slope-intercept,,,,,,,,
series,,,,,,,,
orthocenter,,,,,,,,
congruence,,,,,,,,
multiple,,,,,,,,
sequences,,,,,,,,
inflection,,,,,,,,
box and whisker,,,,,,,,
scatter,,,,,,,,
focus,,,,,,,,
directrix,,,,,,,,
times as large as,,,,,,,,
subarray,,,,,,,,
radical functions,,,,,,,,
system of equation,,,,,,,,
systems of inequalities,,,,,,,,
Guo Qi,Chinese chess player who holds the titles of International master and Woman Grandmaster,,,,,,,
public leaderboards,,,,,,,,
quart,,,,,,,,
pint,,,,,,,,
fitting,,,,,,,,
Clm,"Acronym for: ""Codex latinus monacensis"", a Latin-language manuscript in the Bayerische Staatsbibliothek in Munich.",,,,,,,
quarts,,,,,,,,
Vatican Vergil,Codex,,,,,,,
Gospels of Otto III,Códice,,,,,,,
early medieval period,,,,,,,,
Two-way tables,,,,,,,,
two-way table,,,,,,,,
pound,,,,,,,,
Mount Etna,Volcano located in Sicily,,,,,,,
missions,,,,,,,,
index,,,,,,,,
avatars,,,,,,,,
Computer Programming,,,,,,,,
Solve,,,,,,,,
and,,,,,,,,
object,,,,,,,,
Wireframe,,,,,,,,
origin,,,,,,,,
yards,,,,,,,,
mile,,,,,,,,
skill checks,,,,,,,,
guitar,,,,,,,,
Groeningemuseum,,,,,,,,
Bruges,Belgian city,,,,,,,
variable,,,,,,,,
ounces,,,,,,,,
pounds,,,,,,,,
Dr. Steven Zucker,,,,,,,,
data,,,,,,,,
Altes Museum,Berlin museum,,,,,,,
blended,,,,,,,,
consumer reports,,,,,,,,
Silicon Schools Fund,,,,,,,,
deprecated,,,,,,,,
method,,,,,,,,
square units,,,,,,,,
Perlin,,,,,,,,
noise,,,,,,,,
textures,,,,,,,,
geometric sequences,,,,,,,,
interactive,,,,,,,,
account,,,,,,,,
indentation,,,,,,,,
probability,,,,,,,,
Cassius Dio,,,,,,,,
Imperial Fora,Rome,,,,,,,
unit vectors,"vector of length ""one""",,,,,,,
integer,,,,,,,,
accessibility,,,,,,,,
fire stick farming,,,,,,,,
line segments,,,,,,,,
excluded values,values that will make the denominator of a fraction equal to 0,,,,,,,
preferences,,,,,,,,
unenroll,,,,,,,,
poliadic,"the chief civic cult of an ancient city, derived from the Greek word polis",,,,,,,
foreground,,,,,,,,
approved,,,,,,,,
disapproved,,,,,,,,
fractional parts,,,,,,,,
subdivision surfaces,,,,,,,,
Hustle points,,,,,,,,
hot air balloon,,,,,,,,
albumen silver print,,,,,,,,
seismoscope,,,,,,,,
United States Geological Survey,,,,,,,,
Old Faithful,,,,,,,,
drypoint,,,,,,,,
etching,,,,,,,,
linocuts,,,,,,,,
woodblock prints,,,,,,,,
lithographs,,,,,,,,
Norris Geyser Basin,,,,,,,,
Science Bulletins,,,,,,,,
cruising speed,,,,,,,,
velocity,,,,,,,,
collage,,,,,,,,
burin,,,,,,,,
standard algorithm,"n elementary arithmetic, a standard algorithm or method is a specific method of computation which is conventionally taught for solving particular mathematical problems.",,,,,,,
space shuttle,,,,,,,,
trillion,"the number 1,000,000,000,000",,,,,,,
raise awareness,,,,,,,,
Caracci,The Carracci (Italian: [karˈrattʃi]) were a Bolognese family of artists that played an instrumental role in bringing forth the art movement known as the Baroque.,,,,,,,
law court,,,,,,,,
albumen print,,,,,,,,
quadratic formula,,,,,,,,
place value,,,,,,,,
place values,,,,,,,,
outliers,,,,,,,,
instanteous rates of change,(calculus),,,,,,,
video,,NOUN,,,,,,
videos,,,,,,,,
"Alte Nationalgalerie, Staatliche Museen zu Berlin",,,,,,,,
Alte Nationalgalerie,a museum in Berlin,,,,,,,
Number opposites,,,,,,,,
number opposite,,,,,,,,
statement,,,,,,,,
greatest common factors,,,,,,,,
"Neue Pinakothek,",,,,,,,,
&Ouml;sterreichische Galerie Belvedere,,,,,,,,
ciphertext,,,,,,,,
assessments,,,,,,,,
Plate Tectonics,,,,,,,,
Italian National Institute for Geophysics and Volcanology,,,,,,,,
comment,for computer science,,,,,,,
quadratics,,NOUN,,,,,,
snowman,,,,,,,,
extremum point,,,,,,,,
celebration,,,,,,,,
number opposites,,,,,,,,
yogurt,,,,,,,,
corresponding angles,,,,,,,,
dilated,,,,,,,,
polynomial expressions,,,,,,,,
number lines,,,,,,,,
grid diagram,,,,,,,,
fractions,,,,,,,,
Sal,,,,,,,,
right,,,,,,,,
change,,,,,,,,
absolute maximum,,,,,,,,
complementary angles,,,,,,,,
practice,,,,,,,,
supplementary,,,,,,,,
Ferris wheel,,,,,,,,
documentation,,,,,,,,
mountain lion,,,,,,,,
Radians,,,,,,,,
trail mix,,,,,,,,
fraction bar,,,,,,,,
finds,,,,,,,,
irregular,,,,,,,,
rectangular,,,,,,,,
prisms,,,,,,,,
simplified fraction,,,,,,,,
Intro,,,的介绍,,,的介紹,,
extraneous solution,,,,,,,,
significant figures,,,,,,,,
Leading zeros,,,,,,,,
trailing zeros,,,,,,,,
significant,,,,,,,,
Angle Bisector Theorem,,,,,,,,
leg,,,,,,,,
arc measure,,,,,,,,
can be modeled by a sinusoidal expression of the form,,,,,,,,
triangular prism,,,,,,,,
hour hand,,,,,,,,
minute hand,,,,,,,,
Thames River,,,,,,,,
kites,,,,,,,,
stem-and-leaf plot,,,,,,,,
sales tax,,,,,,,,
command,,,,,,,,
AP,,,,,,,,
system of equations,,,,,,,,
substitution,,,,,,,,
solves,,,,,,,,
perfect square trinomials,,,,,,,,
Angel Gabriel,,,,,,,,
hijra,,,,,,,,
Bahrain,,,,,,,,
khutba,,,,,,,,
completing the square,,,,,,,,
Sequences,,,,,,,,
Sequences,,,,,,,,
zeros,,,,,,,,
geometric sequence,,,,,,,,
The Judgment of Paris,Paintings - Rubens & Lorrain,,,,,,,
significands,,,,,,,,
pieces,,,,,,,,
total,,,,,,,,
whole,,,,,,,,
factor tree,,,,,,,,
New Orleans Museum of Art,Museum,,,,,,,
URL,,,,,,,,
accumulative,,,,,,,,
Cross sections,,,,,,,,
ring,,,,,,,,
Conversion on the Road to Damascus,Caravaggio's painting,,,,,,,
Sublime,,,,,,,,
Two Men by the Sea,Friedrich's painting,,,,,,,
DOM,,,,,,,,
number scrubber,,,,,,,,
tenths place,,,,,,,,
hundredths place,,,,,,,,
ten thousands place,,,,,,,,
opposite angles,,,,,,,,
Napoleonic Guard,,,,,,,,
element,,,,,,,,
selector,,,,,,,,
For example,,,,,,,,
Fiji,,,,,,,,
stencils,,,,,,,,
Niuean,,,,,,,,
bark cloth,,,,,,,,
Auckland Art Gallery,,,,,,,,
Church Missionary Society,,,,,,,,
Dr. Billie Lythberg,she is a woman,,,,,,,
div,,,,,,,,
pop up,,,,,,,,
jQuery,,,,,,,,
set,,,,,,,,
editor,,,,,,,,
linear function,,,,,,,,
development,,,,,,,,
interior angles,,,,,,,,
English Channel,channel between England and France,,,,,,,
Therefore,,,,,,,,
Buddha,,,,,,,,
narrative imagery,,,,,,,,
blog,,,,,,,,
Wireframes,a skeletal three-dimensional model in which only lines and vertices are represented,,,,,,,
app,,,,,,,,
Screenshot,,,,,,,,
Best practices,,,,,,,,
Remember,,,,,,,,
Byzantium,,,,,,,,
grader,,,,,,,,
relationship,,,,,,,,
Ivory Coast,a country in West Africa,,,,,,,
Dr. Peri Klemm,,,,,,,,
Algeria,country in the north of Africa,,,,,,,
New York City Landmarks Preservation Commission,The largest municipal preservation agency in the nation.,,,,,,,
Commodity Signs,,,,,,,,
period,,,,,,,,
events,,,,,,,,
Mughals,,,,,,,,
rightfully guided,"The Rashidun Caliphs (meaning ""Rightly Guided"", ""Righteously Guided"", ""Righteous"" Caliphs al-Khulafāʾu ar-Rāshidūn), often simply called, collectively, ""the Rashidun"", is a term used in Sunni Islam to refer to the 30-year reign of the first four caliphs (successors) following the death of the Islamic prophet Muhammad",,,,,,,
Check the hint code,,,,,,,,
define,,,,,,,,
incrementing,,,,,,,,
decrementing,,,,,,,,
Make sure,,,,,,,,
Could you please put it back?,,,,,,,,
hotlist,,,,,,,,
N-terminus,,,,,,,,
C-terminus,,,,,,,,
arguments,,,,,,,,
Doesn't have any syntax errors or program logic errors.,,,,,,,,
Looks like,,,,,,,,
Leclerc,,,,,,,,
Rochambeau,,,,,,,,
hydrogen bonds,,,,,,,,
Compound event,,,,,,,,
Compound events,,,,,,,,
convergence,,,,,,,,
divergence,,,,,,,,
isolate,,,,,,,,
To solve for,,,,,,,,
geometric series,,,,,,,,
arithmetic series,,,,,,,,
oblique asymptotes,,,,,,,,
factors,,,,,,,,
eliminate,,,,,,,,
result in,,,,,,,,
hover,,,,,,,,
exponential,,,,,,,,
logs,,,,,,,,
resistance,,,,,,,,
Spoiler alert,,,,,,,,
Start Over,,,,,,,,
concatenating,,,,,,,,
grade-school,,,,,,,,
semi-colon,,,,,,,,
increment,,,,,,,,
hint code,,,,,,,,
Associative property,,,,,,,,
commutative,,,,,,,,
distributive,,,,,,,,
expression,,,,,,,,
balance beam model,,,,,,,,
sourcebook,,,,,,,,
the line of best fit,,,,,,,,
Line of best fit,,,,,,,,
trend line,,,,,,,,
relative frequency tables,,,,,,,,
Outliers,,,,,,,,
Manipulating,,,,,,,,
Gem&auml;ldegalerie Alte Meister,,,,,,,,
counter variable,in programming,,,,,,,
Britain,,,,,,,,
American,,,,,,,,
bracket notation,,,,,,,,
Check your spelling and capitalization.,,,,,,,,
grade your code,,,,,,,,
Articulated Cloud,Art piece,,,,,,,
Object to Be Destroyed,Art piece,,,,,,,
focal length,,,,,,,,
"Art moderne, Troyes, France",,,,,,,,
fractional and promised gift,in pieces of art,,,,,,,
Nested For Loops,,,,,,,,
National American Woman Suffrage Association,,,,,,,,
NAWSA,National American Woman Suffrage Association (NAWSA),,,,,,,
female enfranchisement,,,,,,,,
Anti-suffrage,,,,,,,,
Quick tip,,,,,,,,
Section,,,,,,,,
exponents,,,,,,,,
stem-and-leaf,a type of graph (chart),,,,,,,
Battle of the Bulge,Event,,,,,,,
Entente,WWI,,,,,,,
NPC,,,,,,,,
class warfare,,,,,,,,
Spring Offensive,WWI,,,,,,,
image picker,,,,,,,,
The one-time pad,,,,,,,,
fiscal cliff,"The United States fiscal cliff was a situation that came into existence in January 2013 whereby a series of previously enacted laws would come into effect simultaneously, increasing taxes while decreasing spending.",,,,,,,
FICA tax,Federal Insurance Contributions Act tax. FICA tax is a United States federal payroll (or employment) tax imposed on both employees and employers to fund Social Security and Medicare.,,,,,,,
FAFSA,The Free Application for Federal Student Aid (known as the FAFSA) is a form that can be prepared annually by current and prospective college students (undergraduate and graduate) in the United States to determine their eligibility for student financial aid.,,,,,,,
caucuses,,,,,,,,
sculptural machine,art,,,,,,,
Mixed-media,Art,,,,,,,
Pennsylvannia,State,,,,,,,
Ferghana,,,,,,,,
affluence,,,,,,,,
The First World War,,,,,,,,
US customary units,,,,,,,,
reflex angle,"ángulo reflejo, greater than 180 degrees",,,,,,,
straight angle,,,,,,,,
Smarthistory,,,,,,,,
modeling,,,,,,,,
Coffers,Architecture,,,,,,,
University of the Arts London,Education,,,,,,,
sinusoidal,,,,,,,,
painterly,,,,,,,,
naturalistic painting,,,,,,,,
ziggurat,,,,,,,,
subject matter,,,,,,,,
Ionia,Ancient greek region. It lays now in west Turkey.,,,,,,,
cella,,,,,,,,
Propylaia,,,,,,,,
Mars Ultor,,,,,,,,
Thermon,,,,,,,,
closed interval method,a subset of Rn is sequentially compact if and only if it is closed and bounded,,,,,,,
Oath of the Horatti,"Oath of the Horatii (French: Le Serment des Horaces), is a large painting by the French artist Jacques-Louis David painted in 1784 and now on display in the Louvre in Paris.",,,,,,,
"Gemäldegalerie Alte Meister, Dresden",,,,,,,,
yotoot,Mayan palace,,,,,,,
elimination,,,,,,,,
Dumbarton Oaks Research Library and Collection,,,,,,,,
in his own right,,,,,,,,
herringbone thumb impressions,This pattern is so named for a fancied resemblance to the bones of a fish such as a herring.,,,,,,,
row-echelon,escalonada,,,,,,,
recursive,,,,,,,,
principal square root,,,,,,,,
Factors,,,,,,,,
divisible by,,,,,,,,
Nilotic peoples,,,,,,,,
metalwork,,,,,,,,
Trustees of the British Museum,,,,,,,,
sign up,,VERB,,,,,,
embedded,,,,,,,,
player,,,,,,,,
real-world,,,,,,,,
One World Schoolhouse,,,,,,,,
officer,,,,,,,,
laid paper,,,,,,,,
drawing room,,,,,,,,
aquatint,,,,,,,,
Berthe Morisot,A female impressionist French painter in the nineteenth century.,,,,,,,
piecewise,,,,,,,,
palindrome,,,,,,,,
graphing,,,,,,,,
challenge,,,,,,,,
word problems,,,,,,,,
verbal,,,,,,,,
denominators,,,,,,,,
HTTP,,,,,,,,
commentary,,,,,,,,
Boulevard des Capucines,A street in Paris.,,,,,,,
"Nelson Atkins Museum of Art, Kansas City, Missouri",,,,,,,,
interpretation,,,,,,,,
proportion,,,,,,,,
Aurignacian,,,,,,,,
musk ox,,,,,,,,
reindeer,,,,,,,,
aurochs,,,,,,,,
quotients,,,,,,,,
"Naturhistorisches Museum, Vienna",,,,,,,,
shekels,,,,,,,,
kroners,,,,,,,,
Meat Inspection Act,,,,,,,,
Pure Food and Drug Act,,,,,,,,
percentages,,,,,,,,
Algebraic,,,,,,,,
basic,,ADJ,,,,,,
fancier,,,,,,,,
proportions,,,,,,,,
ratios,,,,,,,,
interpreting,,,,,,,,
algebra,,,,,,,,
constructing,,,,,,,,
linear,,,,,,,,
units,,,,,,,,
mixed numbers,,NOUN,,,,,,
theorem,,,,,,,,
line,,,,,,,,
involved,,,,,,,,
tricky,,,,,,,,
i.e.,"Abbreviation of latin ""id est"", ""that is"".",,,,,,,
adjacency matrix,,,,,,,,
breadth-first,,,,,,,,
optical illusion,,,,,,,,
change of base,.,,,,,,,
Greywacke,,,,,,,,
real solutions,,,,,,,,
real solution,,,,,,,,
zero-product property,,,,,,,,
corporate,,,,,,,,
library,,,,,,,,
corporation,,,,,,,,
dramatic,,,,,,,,
Gras,,,,,,,,
dry gelatin,"Dry plate, also known as gelatin process, is an improved type of photographic plate. It was invented by Dr. Richard L. Maddox in 1871, and by 1879 it was so well introduced that the first dry plate factory had been established. With much of the complex chemistry work centralized into a factory, the new process simplified the work of photographers, allowing them to expand their business.",,,,,,,
Columbia Law School,,,,,,,,
White House Historical Association,,,,,,,,
Progressive Republican party,,,,,,,,
sum-product form,মধ্যপদ বিশ্লেষণ পদ্ধতি,,,,,,,
Rough Riders,,,,,,,,
Square Deal,,,,,,,,
Commission for Relief in Belgium,,,,,,,,
American Relief Administration,,,,,,,,
US Food Administration,,,,,,,,
Prohibition,When related to the prohibition on Alcohol,,,,,,,
Internal Revenue Service,USA,,,,,,,
Justice Department,USA,,,,,,,
Bureau of Indian Affairs,USA,,,,,,,
Federal Bureau of Prisons,USA,,,,,,,
New Deal,USA,,,,,,,
Smoot-Hawley Tariff Act,,,,,,,,
Reconstruction Finance Corporation,USA,,,,,,,
National Archives,USA,,,,,,,
fireside chats,F.D. Roosevelt,,,,,,,
Agricultural Adjustment Act,USA,,,,,,,
Civilian Conservation Corps,USA,,,,,,,
Federal Emergency Relief Act,USA,,,,,,,
National Recovery Act,USA,,,,,,,
Federal Deposit Insurance Corporation,USA,,,,,,,
Securities and Exchange Commission,USA,,,,,,,
Works Progress Administration,USA,,,,,,,
Wagner Labor Relations Act,USA,,,,,,,
Social Security Act,USA,,,,,,,
Fair Labor Standards Act,USA,,,,,,,
civil service,People who work for the government.,,,,,,,
family tree,,,,,,,,
sequence,,,,,,,,
End behavior,,,,,,,,
Distance from the mean squared,,,,,,,,
collinear,,,,,,,,
coplanar,,,,,,,,
removable discontinuity,,,,,,,,
distance formula,,,,,,,,
evaluating,,,,,,,,
hairy,,,,,,,,
Khan,,,,,,,,
learn,,,,,,,,
saline,,,,,,,,
plugging in,,,,,,,,
sum-product pattern,,,,,,,,
spoiler,,,,,,,,
Water Lilies,,,,,,,,
St. Petersburg,,,,,,,,
"Manet, In the Conservatory",,,,,,,,
literati,Chinese official scholars,,,,,,,
Imperial War Museum,UK - History,,,,,,,
State of the Union Address,USA,,,,,,,
addends,,,,,,,,
vs.,,,,,,,,
Osaka Municipal Museum of Art,,,,,,,,
handscroll,,,,,,,,
ink on paper,,,,,,,,
features,,,,,,,,
feature,,NOUN,,,,,,
dividend,,,,,,,,
personal balance sheet,,,,,,,,
personal balance sheets,,,,,,,,
balance sheets,,,,,,,,
arithmetic,,,,,,,,
geometric,,,,,,,,
American Civil Liberties Union,US History,,,,,,,
Presidential Medal of Freedom,US,,,,,,,
Capital New Service.,US,,,,,,,
Civil Liberties Act,US,,,,,,,
Community Facilities Act,"US History, 1942",,,,,,,
Women's Airforce Service Pilots,US History,,,,,,,
assignment rule,,,,,,,,
The Great American Department Store,,,,,,,,
Total Revenue,,,,,,,,
Total Expenses,,,,,,,,
Fair Value Accounting,,,,,,,,
Historical Cost,,,,,,,,
LHS,,,,,,,,
RHS,,,,,,,,
SSS,,,,,,,,
SAS,,,,,,,,
ASA,,,,,,,,
AAS,,,,,,,,
noble savages,,,,,,,,
Great Basin,,,,,,,,
screen,,,,,,,,
keyboard,,,,,,,,
CDO,A collateralized debt obligation (CDO) is a type of structured asset-backed security (ABS).,,,,,,,
legal tender,Legal tender is a medium of payment recognized by a legal system to be valid for meeting a financial obligation.,,,,,,,
Standard of deferred payment,,,,,,,,
Commodity money,Commodity money is money whose value comes from a commodity of which it is made.,,,,,,,
Fiat money,,,,,,,,
fractional reserve banking,,,,,,,,
depositors,,,,,,,,
money supply,,,,,,,,
Multiplier effect,,,,,,,,
bank notes,,,,,,,,
leverage,,,,,,,,
LIBOR,,,,,,,,
Quantitative easing,,,,,,,,
escrow,,,,,,,,
Scalene triangle,,,,,,,,
bankruptcy,,,,,,,,
condition,,,,,,,,
SQL,,,,,,,,
asymptote,,,,,,,,
Common Core,common education standards in the U.S.,,,,,,,
z-score,,,,,,,,
cube root,,,,,,,,
Fallacy of Composition,,,,,,,,
Alief,,,,,,,,
Peak-End Effect,,,,,,,,
Begging the Question,,,,,,,,
Loss Aversion,,,,,,,,
Scientology,Scientology is a body of religious beliefs and practices created in 1954 by American author L. Ron Hubbard (1911–86).,,,,,,,
Corporations,,,,,,,,
Title insurance,,,,,,,,
Bounds of an Integral Theorem,"If f(x) is continuous in the closed interval [a,b] and f(m) and f(M) are the minimum and maximum values of f in that interval, respectively, then f(m)*(b-a) <= F(b)-F(a) <= f(M)*(b-a).",,,,,,,
peculiar institution,,,,,,,,
asymptotic notation,,,,,,,,
insertion sort,,,,,,,,
quicksort,,,,,,,,
talk-troughs,,,,,,,,
classroom,,,,,,,,
subarrays,,,,,,,,
earn points,,,,,,,,
subproblem,,,,,,,,
pivot,,,,,,,,
cation,,,,,,,,
merge sort,,,,,,,,
non-uniform distribution,,,,,,,,
non-uniform distributions,,,,,,,,
selection sort,,,,,,,,
line segment,,,,,,,,
radii,,,,,,,,
identity matrices,,,,,,,,
[[☃ explanation 1]],,,,,,,,
callback function,,,,,,,,
listener,,,,,,,,
piecewise linear functions,,,,,,,,
limaçon,,,,,,,,
algorithm,,,,,,,,
assignment rules,,,,,,,,
Contango,,,,,,,,
Backwardation,,,,,,,,
declare,,,,,,,,
assign,,,,,,,,
discriminant,,,,,,,,
uniform circular motion,,,,,,,,
net external force,,,,,,,,
models,,,,,,,,
represent,,,,,,,,
price,,,,,,,,
cost,,,,,,,,
highlight,,,,,,,,
graph,,,,,,,,
Part,,,,,,,,
Exponents,,,,,,,,
Geometry,,,,,,,,
School District,,,,,,,,
burlap,fabric,,,,,,,
z-table,,,,,,,,
z-tables,,,,,,,,
standard normal distribution,,,,,,,,
$z$-table,,,,,,,,
$z$-score,,,,,,,,
trinomials,,,,,,,,
is the opposite of,,,,,,,,
Sublimus Dei,"Sublimis Deus [English: The sublime God[1]] (erroneously cited as Sublimus Dei) is a papal bull promulgated by Pope Paul III on June 2, 1537, which forbids the enslavement of the indigenous peoples of the Americas",,,,,,,
YouTube,,,,,,,,
tick,,,,,,,,
stigmata,,,,,,,,
contact force,,,,,,,,
complex plane,,,,,,,,
confidence interval,,,,,,,,
